Record_Hour,NMHC(GT),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Month,DateOfMonth,Weekday,Weekend,dNMHC,dNOx,dNO2
18.0,150.0,166.0,1056.0,113.0,1692.0,1268.0,13.6,48.9,0.7578,3,10,2,0,38.0,63.0,21.0
19.0,112.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,3,10,2,0,24.0,--28.0,--22.0
20.0,88.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,3,10,2,0,8.0,--41.0,--8.0
21.0,80.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,3,10,2,0,29.0,41.0,6.0
22.0,51.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,3,10,2,0,13.0,42.0,20.0
23.0,38.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,3,10,2,0,7.0,27.0,19.0
0.0,31.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,3,11,3,0,0.0,0.0,1.0
1.0,31.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,3,11,3,0,7.0,17.0,16.0
2.0,24.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,3,11,3,0,5.0,0.0,0.0
3.0,19.0,0.0,1705.0,0.0,1235.0,501.0,10.3,60.2,0.7517,3,11,3,0,5.0,0.0,0.0
4.0,14.0,21.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465,3,11,3,0,6.0,5.0,6.0
5.0,8.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,3,11,3,0,--8.0,--18.0,--20.0
6.0,16.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,3,11,3,0,--13.0,--64.0,--34.0
7.0,29.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,3,11,3,0,--35.0,--76.0,--30.0
8.0,64.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,3,11,3,0,--23.0,45.0,11.0
9.0,87.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,3,11,3,0,10.0,17.0,3.0
10.0,77.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,3,11,3,0,34.0,17.0,6.0
11.0,43.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,3,11,3,0,--18.0,--9.0,--3.0
12.0,61.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,3,11,3,0,--2.0,--42.0,--17.0
13.0,63.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,3,11,3,0,--101.0,--61.0,--16.0
14.0,164.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,3,11,3,0,85.0,23.0,2.0
15.0,79.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,3,11,3,0,--16.0,--9.0,--5.0
16.0,95.0,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,3,11,3,0,--55.0,--50.0,--4.0
17.0,150.0,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185,3,11,3,0,--157.0,--38.0,--16.0
18.0,307.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,3,11,3,0,--154.0,--102.0,--21.0
19.0,461.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,3,11,3,0,60.0,32.0,7.0
20.0,401.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,3,11,3,0,204.0,111.0,29.0
21.0,197.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,3,11,3,0,136.0,146.0,51.0
22.0,61.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,3,11,3,0,35.0,47.0,32.0
23.0,26.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,3,11,3,0,--29.0,--75.0,--44.0
0.0,55.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,3,12,4,0,2.0,--11.0,--13.0
1.0,53.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,3,12,4,0,13.0,51.0,19.0
2.0,40.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,3,12,4,0,19.0,0.0,0.0
3.0,21.0,0.0,1680.0,0.0,1187.0,512.0,7.0,62.3,0.6261,3,12,4,0,11.0,0.0,0.0
4.0,10.0,21.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248,3,12,4,0,3.0,--9.0,--12.0
5.0,7.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233,3,12,4,0,--10.0,--26.0,--27.0
6.0,17.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,3,12,4,0,--16.0,--53.0,--33.0
7.0,33.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,3,12,4,0,--169.0,--198.0,--37.0
8.0,202.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,3,12,4,0,0.0,0.0,0.0
9.0,0.0,0.0,767.0,0.0,2058.0,1588.0,9.2,56.2,0.6561,3,12,4,0,0.0,0.0,0.0
10.0,208.0,187.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632,3,12,4,0,42.0,--29.0,--21.0
